dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
32.209137,tcp,http,FIN,358,746,19098,1087900,34.244941,31,29,4730.334961,269846.9063,2,370,90.220583,43.233,6205.411966,4194.861721,255,2310635351,2307526995,255,0.000692,0.000552,0.00014,53,1458,1,524288,1,0,2,1,1,2,0,0,1,3,2,0,0
0.001726,udp,-,CON,4,4,536,304,4055.619959,31,29,1863267.625,1056778.625,0,0,0.447333,0.218,0.626968,0.30194,0,0,0,0,0.0,0.0,0.0,134,76,0,0,6,0,2,1,1,3,0,0,0,2,4,0,0
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.476,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,0
4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,32,2,14,14,14,32,0,0,0,14,32,0,1
0.716176,tcp,http,FIN,10,8,828,1070,23.737183,62,252,8333.147461,10466.70117,2,2,79.575111,87.750711,4727.210484,138.977047,255,232278417,3178872876,255,0.131809,0.071,0.060809,83,134,1,127,2,1,2,1,1,2,0,0,1,1,2,0,0
0.022733,tcp,-,FIN,48,50,2958,33044,4266.92489,31,29,1019487.125,11396297.0,7,18,0.477085,0.452469,25.926994,26.607684,255,2991578167,3016560789,255,0.000682,0.000559,0.000123,62,661,0,0,6,0,2,1,1,3,0,0,0,2,5,0,0
0.062969,tcp,-,FIN,90,92,5174,83812,2874.430314,31,29,650097.6875,10532294.0,7,39,0.711977,0.693033,40.010737,39.584697,255,746347009,746638692,255,0.000716,0.000589,0.000127,57,911,0,0,9,0,3,1,1,3,0,0,0,2,16,0,0
6e-06,udp,-,INT,2,0,2070,0,166666.6608,254,0,1380000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1035,0,0,0,5,2,1,1,1,5,0,0,0,1,6,0,0
0.065561,tcp,-,FIN,84,86,4862,80646,2577.752154,31,29,586324.1875,9726393.0,7,36,0.785181,0.7654,45.124904,44.334803,255,2013811321,4173547684,255,0.000631,0.000498,0.000133,58,938,0,0,9,0,2,1,1,1,0,0,0,3,5,0,0
1.112408,tcp,http,FIN,10,8,826,1146,15.282162,62,252,5350.554688,7213.180664,2,2,123.600889,145.992719,7948.114894,300.353469,255,2692304947,1097216327,255,0.124568,0.06765,0.056918,83,143,1,171,3,1,1,1,1,3,0,0,1,1,3,0,0
0.001033,udp,dns,CON,2,2,146,178,2904.162775,31,29,565343.6875,689254.625,0,0,0.01,0.003,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,2,1,1,2,0,0,0,7,3,0,0
0.00113,udp,dns,CON,2,2,130,162,2654.867281,31,29,460177.0,573451.3125,0,0,0.011,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,3,0,7,1,1,3,0,0,0,3,2,0,0
0.001065,udp,dns,CON,2,2,146,178,2816.901513,31,29,548356.8125,668544.625,0,0,0.006,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,1,2,1,1,0,0,0,3,3,0,0
10.867534,tcp,-,REQ,8,0,360,0,0.64412,254,0,231.883347,0.0,7,0,1552.504875,0.0,3182.94675,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,49,6,22,2,2,48,0,0,0,23,48,0,0
1.169956,tcp,http,FIN,14,18,1684,10168,26.496724,31,29,10694.41992,65670.84375,3,5,89.968231,68.792471,9078.360474,7948.529001,255,1126429925,3273471916,255,0.000614,0.000483,0.000131,120,565,1,3924,5,0,2,3,1,1,0,0,1,3,1,0,0
0.037044,tcp,-,FIN,72,74,4238,63878,3914.264131,31,29,902710.3125,13608682.0,7,30,0.517028,0.49963,29.30948,29.116213,255,351200382,2496889707,255,0.000699,0.000562,0.000137,59,863,0,0,4,0,2,1,1,1,0,0,0,2,8,0,0
0.001009,udp,dns,CON,2,2,146,178,2973.240834,31,29,578790.875,705649.1875,0,0,0.008,0.005,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,5,1,1,3,0,0,0,5,3,0,0
0.00103,udp,dns,CON,2,2,146,178,2912.621237,31,29,566990.25,691262.125,0,0,0.005,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,11,1,1,2,0,0,0,2,2,0,0
9e-06,tcp,-,REQ,2,0,90,0,111111.1072,254,0,40000000.0,0.0,1,0,0.009,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,9,6,2,1,1,8,0,0,0,2,10,0,0
4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,26,2,10,9,9,26,0,0,0,10,26,0,1
0.220476,tcp,-,FIN,24,24,4048,2768,213.175129,31,29,140786.2969,96264.44531,7,7,9.571,9.563044,650.228044,18.079787,255,1072401066,3225056564,255,0.000641,0.000522,0.000119,169,115,0,0,4,0,4,1,1,4,0,0,0,3,5,0,0
0.00109,udp,dns,CON,2,2,146,178,2752.293491,31,29,535779.8125,653211.0,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,5,2,1,3,0,0,0,3,4,0,0
0.623155,tcp,-,FIN,10,6,534,268,24.071058,254,252,6175.028809,2875.688965,2,1,69.125444,108.166203,3458.312122,161.061922,255,1279650774,2088392322,255,0.119911,0.082321,0.03759,53,45,0,0,6,1,1,1,1,3,0,0,0,2,4,0,0
0.003941,tcp,http,FIN,8,10,1052,824,4313.626012,31,29,1869576.25,1506216.75,2,2,0.514571,0.377556,32.816735,0.682427,255,1899877960,1900886116,255,0.000668,0.000539,0.000129,132,82,1,83,3,0,2,1,1,2,0,0,1,10,1,0,0
0.161656,tcp,-,CON,6,2,998,86,43.301824,62,252,41173.84766,2127.975342,2,1,32.3312,0.007,1958.640936,0.0,255,976628735,659545710,255,0.136145,0.05975,0.076395,166,43,0,0,6,3,5,5,1,6,0,0,0,5,6,0,0
1.027876,tcp,http,FIN,12,18,1580,10168,28.213519,31,29,11277.625,74748.3125,3,5,93.411912,60.431057,9596.335169,7728.637065,255,4142056768,1993542859,255,0.000678,0.000544,0.000134,132,565,1,0,4,0,1,1,1,1,0,0,1,2,3,0,0
9e-06,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,17,2,6,6,1,17,0,0,0,6,17,0,0
