learning_rate,max_iter,max_leaf_nodes,ap_mean,ap_std
0.05,300,15,0.9413,0.0071
0.05,600,15,0.9413,0.0071
0.1,100,15,0.9406,0.0071
0.05,100,15,0.9404,0.0079
0.1,300,15,0.9399,0.0073
0.1,600,15,0.9399,0.0073
0.1,100,31,0.9398,0.0081
0.1,300,31,0.9396,0.0084
0.1,600,31,0.9396,0.0084
0.05,600,31,0.9396,0.0072
0.05,300,31,0.9396,0.0072
0.05,100,31,0.9394,0.0066
0.1,300,63,0.939,0.0078
0.1,600,63,0.939,0.0078
0.1,100,63,0.939,0.0078
0.2,300,15,0.9387,0.0076
0.2,600,15,0.9387,0.0076
0.2,100,15,0.9387,0.0076
0.05,100,63,0.9381,0.0079
0.05,600,63,0.938,0.0081
0.05,300,63,0.938,0.0081
0.2,300,63,0.9377,0.0102
0.2,100,63,0.9377,0.0102
0.2,600,63,0.9377,0.0102
0.2,100,31,0.9355,0.0081
0.2,300,31,0.9355,0.0081
0.2,600,31,0.9355,0.0081
